"smoke","sex","age","edu","weight","height","bmi","sport","marital","region","wkabint","income","ls"
"NO","FEMALE",57,"VOCATIONAL/GRAMMAR",89,170,30.7958477508651,"NO","MARRIED","Lubuskie","NO",800,"PLEASED"
"NO","MALE",20,"VOCATIONAL/GRAMMAR",82,187,23.4493408447482,"NO","SINGLE","Podlaskie","NO",350,"MOSTLY SATISFIED"
"NO","FEMALE",18,"VOCATIONAL/GRAMMAR",50,165,18.3654729109275,"NO","SINGLE","Mazowieckie","NO",NA,"PLEASED"
"NO","FEMALE",78,"PRIMARY/NO EDUCATION",78,160,30.46875,"YES","WIDOWED","Podlaskie","NO",900,"MIXED"
"YES","FEMALE",54,"VOCATIONAL/GRAMMAR",50,158,20.0288415318058,"YES","MARRIED","Zachodnio-pomorskie","NO",1500,"MOSTLY SATISFIED"
"NO","MALE",20,"SECONDARY",65,165,23.8751147842057,"NO","SINGLE","Slaskie","NO",-8,"PLEASED"
"NO","FEMALE",39,"SECONDARY",68,168,24.092970521542,"YES","MARRIED","Wielkopolskie","NO",2000,"MOSTLY SATISFIED"
"NO","MALE",39,"SECONDARY",86,171,29.4107588659759,"NO","MARRIED","Lubuskie","NO",1197,"MIXED"
"YES","FEMALE",43,"SECONDARY",54,167,19.3624726594715,"YES","MARRIED","Swietokrzyskie","NO",580,"MOSTLY SATISFIED"
"YES","FEMALE",63,"SECONDARY",65,155,27.0551508844953,"YES","MARRIED","Dolnoslaskie","NO",1400,"PLEASED"
"YES","FEMALE",38,"VOCATIONAL/GRAMMAR",77,180,23.7654320987654,"YES","MARRIED","Kujawsko-pomorskie","NO",1500,"MOSTLY DISSATISFIED"
"NO","FEMALE",73,"VOCATIONAL/GRAMMAR",78,168,27.6360544217687,"YES","WIDOWED","Slaskie","NO",1700,"PLEASED"
"YES","FEMALE",54,"SECONDARY",75,170,25.9515570934256,"YES","WIDOWED","Slaskie","NO",2000,"MOSTLY SATISFIED"
"YES","MALE",30,"VOCATIONAL/GRAMMAR",74,170,25.6055363321799,"YES","SINGLE","Zachodnio-pomorskie","NO",900,"MOSTLY SATISFIED"
"NO","MALE",68,"SECONDARY",65,165,23.8751147842057,"NO","MARRIED","Pomorskie","NO",-8,"DELIGHTED"
"YES","MALE",61,"PRIMARY/NO EDUCATION",NA,NA,NA,"YES","MARRIED","Mazowieckie","NO",-8,"MIXED"
"NO","MALE",84,"PRIMARY/NO EDUCATION",56,170,19.3771626297578,"YES","SINGLE","Slaskie","NO",2000,"PLEASED"
"NO","FEMALE",87,"SECONDARY",75,155,31.2174817898023,"YES","DIVORCED","Lodzkie","NO",1400,"MIXED"
"YES","MALE",47,"PRIMARY/NO EDUCATION",70,164,26.0261748958953,"YES","MARRIED","Slaskie","NO",560,"PLEASED"
"YES","MALE",45,"VOCATIONAL/GRAMMAR",78,181,23.8087970452672,"YES","MARRIED","Podkarpackie","YES",530,"PLEASED"
"NO","FEMALE",60,"VOCATIONAL/GRAMMAR",100,164,37.180249851279,"YES","MARRIED","Podkarpackie","NO",700,"MIXED"
"YES","MALE",27,"VOCATIONAL/GRAMMAR",97,175,31.6734693877551,"YES","SINGLE","Mazowieckie","NO",1000,"PLEASED"
"YES","FEMALE",49,"POST-SECONDARY OR HIGHER",60,160,23.4375,"NO","MARRIED","Lubelskie","NO",-8,"PLEASED"
"YES","FEMALE",58,"POST-SECONDARY OR HIGHER",59,162,22.4813290656912,"YES","MARRIED","Slaskie","NO",3500,"MOSTLY SATISFIED"
"NO","MALE",30,"VOCATIONAL/GRAMMAR",75,174,24.7720967102656,"YES","SINGLE","Podkarpackie","NO",1600,"PLEASED"
"YES","MALE",59,"SECONDARY",68,176,21.952479338843,"YES","MARRIED","Malopolskie","NO",1300,"PLEASED"
"NO","FEMALE",26,"POST-SECONDARY OR HIGHER",58,160,22.65625,"NO","SINGLE","Dolnoslaskie","NO",1500,"MOSTLY SATISFIED"
"NO","FEMALE",35,"SECONDARY",52,158,20.829995193078,"YES","SINGLE","Mazowieckie","NO",1300,"MIXED"
"NO","MALE",17,"PRIMARY/NO EDUCATION",50,178,15.7808357530615,"NO","SINGLE","Zachodnio-pomorskie","NO",NA,"MIXED"
"YES","FEMALE",40,"POST-SECONDARY OR HIGHER",57,159,22.5465764803607,"NO","DIVORCED","Lubelskie","NO",2000,"MOSTLY SATISFIED"
"NO","FEMALE",75,"SECONDARY",99,162,37.7229080932785,"NO","MARRIED","Wielkopolskie","NO",1157,"PLEASED"
"YES","MALE",21,"PRIMARY/NO EDUCATION",75,186,21.6788067984738,"YES","SINGLE","Kujawsko-pomorskie","NO",NA,"PLEASED"
"NO","FEMALE",43,"PRIMARY/NO EDUCATION",67,168,23.7386621315193,"YES","MARRIED","Dolnoslaskie","NO",1000,"MOSTLY SATISFIED"
"NO","MALE",34,"POST-SECONDARY OR HIGHER",110,184,32.4905482041588,"NO","MARRIED","Dolnoslaskie","NO",4000,"PLEASED"
"NO","FEMALE",35,"SECONDARY",53,166,19.2335607490202,"YES","MARRIED","Kujawsko-pomorskie","NO",800,"PLEASED"
"YES","MALE",47,"VOCATIONAL/GRAMMAR",64,164,23.7953599048186,"YES","MARRIED","Malopolskie","NO",1200,"MIXED"
"NO","MALE",20,"SECONDARY",86,182,25.9630479410699,"NO","SINGLE","Warminsko-mazurskie","NO",-8,"PLEASED"
"NO","MALE",71,"SECONDARY",106,170,36.6782006920415,"YES","MARRIED","Podlaskie","NO",1000,"PLEASED"
"NO","FEMALE",41,"SECONDARY",66,160,25.78125,"YES","MARRIED","Lodzkie","NO",NA,"PLEASED"
"NO","MALE",60,"SECONDARY",75,178,23.6712536295922,"YES","SINGLE","Slaskie","NO",900,"MOSTLY DISSATISFIED"
"NO","MALE",74,"SECONDARY",76,173,25.3934311203181,"NO","MARRIED","Mazowieckie","NO",1500,"MOSTLY SATISFIED"
"NO","FEMALE",52,"SECONDARY",75,162,28.5779606767261,"YES","MARRIED","Swietokrzyskie","NO",2000,"PLEASED"
"NO","MALE",25,"POST-SECONDARY OR HIGHER",80,186,23.1240605850387,"NO","SINGLE","Zachodnio-pomorskie","YES",NA,"MOSTLY DISSATISFIED"
