age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,sex,capital-gain,capital-loss,hours,native,label
19, Private,356272, Some-college,10, Never-married, Adm-clerical, Not-in-family, Female,0,0,25, United-States,0
17, Private,198830, 11th,7, Never-married, Adm-clerical, Other-relative, Female,0,0,10, United-States,0
21, Private,313873, 5th-6th,3, Never-married, Handlers-cleaners, Not-in-family, Male,0,0,40, Mexico,0
25, Private,208881, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,60, United-States,0
37, Private,218490, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,55, El-Salvador,1
46, Local-gov,140219, Masters,14, Divorced, Prof-specialty, Not-in-family, Female,8614,0,55, United-States,1
18, Private,218889, 9th,5, Never-married, Other-service, Own-child, Male,0,0,35, United-States,0
45, Self-emp-inc,177543, HS-grad,9, Married-civ-spouse, Sales, Wife, Female,0,0,50, United-States,0
36, Private,288103, 11th,7, Separated, Machine-op-inspct, Not-in-family, Male,0,0,40, United-States,0
25, Private,187653, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Male,0,0,48, United-States,0
27, Private,247711, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,40, United-States,0
45, Private,187901, HS-grad,9, Divorced, Farming-fishing, Not-in-family, Male,0,2258,44, United-States,1
62, State-gov,159699, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,38, United-States,0
17, Private,33138, 12th,8, Never-married, Sales, Own-child, Male,0,0,40, United-States,0
57, ?,403625, Some-college,10, Married-civ-spouse, ?, Husband, Male,0,0,60, United-States,1
34, Private,190385, Masters,14, Never-married, Prof-specialty, Not-in-family, Female,0,0,40, United-States,1
24, Private,34506, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, Female,0,0,40, United-States,0
34, Private,242361, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,50, United-States,0
55, Private,49737, Some-college,10, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States,0
48, Private,138069, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,45, United-States,0
36, Private,297335, Bachelors,13, Never-married, Sales, Not-in-family, Female,0,0,50, China,0
29, State-gov,293287, Some-college,10, Never-married, Other-service, Unmarried, Female,0,0,40, United-States,0
18, Private,298860, 11th,7, Never-married, Sales, Own-child, Male,0,0,20, United-States,0
24, Private,172496, Bachelors,13, Never-married, Sales, Not-in-family, Male,0,0,30, United-States,0
28, ?,131310, HS-grad,9, Separated, ?, Unmarried, Female,0,0,40, United-States,0
32, Self-emp-not-inc,134737, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,70, United-States,1
24, Private,51799, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,40, United-States,0
42, Private,157425, Bachelors,13, Divorced, Exec-managerial, Unmarried, Female,0,0,45, United-States,0
30, Private,149427, HS-grad,9, Never-married, Craft-repair, Own-child, Male,0,0,35, United-States,0
57, Self-emp-inc,125000, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,35, United-States,1
54, Private,257337, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,1
24, Private,353696, Some-college,10, Never-married, Other-service, Own-child, Male,0,0,20, Canada,0
35, Private,209609, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Male,0,0,60, United-States,0
20, ?,182117, Some-college,10, Never-married, ?, Own-child, Male,0,0,40, United-States,0
45, Local-gov,195418, Masters,14, Divorced, Prof-specialty, Not-in-family, Male,0,0,40, United-States,0
55, Private,190508, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Male,0,0,35, United-States,0
29, Private,286634, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Female,0,0,50, United-States,1
46, Private,282538, Assoc-voc,11, Separated, Machine-op-inspct, Not-in-family, Female,0,0,40, United-States,0
27, Private,183523, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States,1
34, Private,157886, Assoc-acdm,12, Separated, Other-service, Unmarried, Female,0,0,40, United-States,0
26, Private,153434, HS-grad,9, Never-married, Other-service, Own-child, Male,0,0,24, United-States,0
51, Private,338620, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Male,15024,0,60, United-States,1
47, Private,49298, HS-grad,9, Divorced, Sales, Not-in-family, Male,0,0,50, United-States,0
44, Private,268098, 12th,8, Never-married, Transport-moving, Not-in-family, Male,0,0,36, United-States,0
57, Self-emp-not-inc,327901, 10th,6, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States,0
55, Private,32365, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,45, United-States,1
45, Private,201127, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States,0
18, Private,122775, HS-grad,9, Never-married, Other-service, Own-child, Male,0,0,35, United-States,0
59, Private,142182, HS-grad,9, Married-civ-spouse, Other-service, Husband, Male,0,0,40, United-States,1
